task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
54	95/e77c28	22690	run_filter_consensus (1)	COMPLETED	0	2025-07-10 12:02:00.686	486ms	171ms	74.7%	5.5 MB	15.6 MB	1 MB	1.5 KB
55	dc/fdcf8e	22842	chop_pdb (1)	COMPLETED	0	2025-07-10 12:02:01.240	2.3s	1.3s	50.6%	8.9 MB	17.9 MB	10.4 MB	2.1 MB
58	3b/2162d3	23166	run_plddt (1)	COMPLETED	0	2025-07-10 12:02:03.640	768ms	249ms	45.9%	8.4 MB	17.8 MB	1.8 MB	706 B
67	27/54d952	23377	create_md5 (9)	COMPLETED	0	2025-07-10 12:02:03.784	1s	705ms	116.8%	7.7 MB	19.6 MB	4.1 MB	331 B
62	51/8e6984	23179	create_md5 (4)	COMPLETED	0	2025-07-10 12:02:03.697	1.2s	820ms	91.7%	6.8 MB	19.6 MB	4.1 MB	381 B
66	aa/bbd0a7	23363	create_md5 (8)	COMPLETED	0	2025-07-10 12:02:03.777	1.1s	775ms	117.1%	6.5 MB	16 MB	4.1 MB	441 B
63	d6/124bc1	23181	create_md5 (5)	COMPLETED	0	2025-07-10 12:02:03.688	1.2s	879ms	91.2%	6.5 MB	16 MB	4.1 MB	375 B
65	b3/4496a6	23180	create_md5 (7)	COMPLETED	0	2025-07-10 12:02:03.692	1.2s	835ms	92.9%	6.8 MB	16.6 MB	4.1 MB	355 B
56	93/afa861	23135	run_stride (1)	COMPLETED	0	2025-07-10 12:02:03.604	1.5s	331ms	48.0%	3 MB	8.9 MB	1.2 MB	177.2 KB
69	7a/4e419c	24077	create_md5 (11)	COMPLETED	0	2025-07-10 12:02:04.414	1s	695ms	148.1%	5.5 MB	15.6 MB	4.1 MB	370 B
70	a2/7f9718	24318	create_md5 (12)	COMPLETED	0	2025-07-10 12:02:04.843	1.1s	811ms	104.1%	7.7 MB	19.6 MB	4.1 MB	337 B
68	48/fcaf98	24329	create_md5 (10)	COMPLETED	0	2025-07-10 12:02:04.855	1.1s	815ms	105.4%	6.8 MB	19.6 MB	4.1 MB	378 B
60	17/a0d1da	24443	create_md5 (2)	COMPLETED	0	2025-07-10 12:02:04.916	1.1s	731ms	114.3%	8.9 MB	59.8 MB	4.1 MB	361 B
59	29/a5272f	24449	create_md5 (1)	COMPLETED	0	2025-07-10 12:02:04.921	1.2s	837ms	104.2%	8.5 MB	20.7 MB	4.2 MB	450 B
73	f1/c52834	24802	create_md5 (15)	COMPLETED	0	2025-07-10 12:02:05.118	1.1s	635ms	140.5%	7 MB	19.6 MB	4.1 MB	357 B
72	b9/09970a	25162	create_md5 (14)	COMPLETED	0	2025-07-10 12:02:05.447	1.2s	715ms	136.5%	6 MB	15.9 MB	4.2 MB	474 B
75	dd/23a124	25469	create_md5 (17)	COMPLETED	0	2025-07-10 12:02:05.979	1.1s	798ms	103.7%	5.8 MB	15.7 MB	4.1 MB	395 B
61	49/f38cab	25468	create_md5 (3)	COMPLETED	0	2025-07-10 12:02:05.970	1.2s	819ms	109.3%	6.3 MB	15.9 MB	4.1 MB	436 B
76	84/d7724d	25522	create_md5 (18)	COMPLETED	0	2025-07-10 12:02:06.040	1.1s	805ms	114.6%	6.3 MB	15.9 MB	4.1 MB	358 B
71	b7/8a834c	25624	create_md5 (13)	COMPLETED	0	2025-07-10 12:02:06.119	1.1s	808ms	114.3%	9.7 MB	62.2 MB	4.1 MB	411 B
74	77/f5ff32	25860	create_md5 (16)	COMPLETED	0	2025-07-10 12:02:06.278	1.2s	659ms	138.0%	7.6 MB	19.6 MB	4.2 MB	486 B
